pdf_name,doc_type,category,subcategory,classification_confidence,source,text_sha256,text_chars,text_words,unique_words,euro_mentions,cig,cup,cig_mentions,cup_mentions,date_mentions,years_mentioned,importo_max,importo_sum,importi_count,accounting_relevant,missing_amount_expected,importo_lettere,piva_beneficiario,iban,codice_appalti,quadro_economico,anomalie
Determinazione_263__5507_DeterminadiLiquidazione_Copia_263_2026_1.pdf,Determinazione,Contabilità,Liquidazione,ambiguous,text,b62887245cbf4f21e72b6e47e38970496ac8694c9624277781b5897619c94b06,12217,1958,603,9,BA30E71574,,5,1,10,"2000,2001,2010,2023,2025,2026,2027,2028",16102.27,16102.27,3,True,False,,5892970152.0,,36/2023,,
Determinazione_308__5577_DeterminadiImpegno_Copia_308_2026_1.pdf,Determinazione,Personale,,ambiguous,text,e8de6a643e1ec84f42f91de3d4b04e55d470e84cfba32451928e89ab2e121e6d,14199,2261,688,11,BB7DC0322B,,3,1,11,"2000,2006,2009,2010,2011,2013,2014,2022,2023,2025,2026",770.0,7940.0,7,True,False,,6342650659.0,,36/2023,,
Determinazione_32__5107_DeterminadiImpegno_Copia_32_2026_1.pdf,Determinazione,Affari Generali,,ambiguous,text,55a1cd3c0b85556880969c5e80256f37ca2f5e03b1825b421298ec611002245e,25467,4116,1060,19,B97F43CECD,J25E24000230006,3,5,15,"2000,2009,2010,2011,2012,2013,2014,2020,2021,2022,2023,2024,2025,2026,2028",515481082.75,519185192.75,18,True,False,,7015691210.0,,36/2023,,
Determinazione_352__5644_DeterminadiLiquidazione_Copia_352_2026_1.pdf,Determinazione,Contabilità,Liquidazione,ambiguous,text,d63f4d98061fb4fe29308559e2098e4665d055e078814573269e332dda2ee4dd,12164,1952,595,9,BA30E71574,,5,1,10,"2000,2001,2010,2023,2026,2027,2028",15199.55,15199.55,3,True,False,,5892970152.0,,36/2023,,
Determinazione_362023__5010_DeterminadiLiquidazione_Copia_736_2025_1.pdf,Determinazione,Ambiente,Liquidazione,ambiguous,text,5fae7ce1705fcaa85f7d469dc0c1712750808f3d21e87ff08ac546e538e8e072,13039,2134,535,17,B6752D8EE4,,2,1,10,"2000,2009,2010,2011,2012,2013,2016,2023,2025,2026,2027",75000.0,385576.91,18,True,False,,3136160649.0,,36/2023,,
Determinazione_362023__5257_DeterminaaContrarre_Copia_117_2026_1.pdf,Determinazione,Affari Generali,,ambiguous,text,09418570615052d2e62519ec30b2b6d9ec007e7b467432ab0aba03f8f0349295,13381,2188,636,14,BA30E71574,,7,1,10,"2000,2001,2006,2010,2023,2025,2026,2027",12000.0,12000.0,3,True,False,,5892970152.0,,36/2023,,
Determinazione_362023__5591_DeterminadiLiquidazione_Copia_322_2026_1.pdf,Determinazione,Ambiente,Liquidazione,ambiguous,text,b558f7bf0ef4266fdaa24a17eb97d32554cc5d474c5a8cd92f377620acb246b1,11489,1866,504,9,B6752C3D90,,1,1,10,"2000,2009,2010,2011,2012,2013,2016,2023,2025,2026,2027",60000.0,216000.0,7,True,False,,3143860645.0,,36/2023,,
Determinazione_362023__5616_DeterminadiLiquidazione_Copia_330_2026_1.pdf,Determinazione,Affari Generali,Liquidazione,ambiguous,text,e7e7dcac09cc1a99a2c341faedd841cb3b8ba1038a1875b8fec3b319f58e4e5b,16317,2722,646,34,B5F4BB8D89,J25E24000150006,3,2,11,"2000,2012,2019,2020,2022,2023,2024,2025,2026",690911.48,5130245.19,32,True,False,,2737970646.0,,36/2023,,
Determinazione_391__allegato1780482506_4.pdf,Determinazione,Cultura e Turismo,,ambiguous,text,414c173a032016fb5e04a356bed8efe8f8ed779ff4723159cb47755269e3324e,2337,347,159,0,,,0,0,2,"2000,2017,2023,2026,2027",,,0,True,True,,,,36/2023,,
Determinazione_3__5070_DeterminadiLiquidazione_Copia_3_2026_1.pdf,Determinazione,Contabilità,Liquidazione,ambiguous,text,504ac612180a9c6832e5965f86cd03cd276b996becbdce33b31fae0745818d1a,11295,1824,612,11,B12A6AAF0E,,4,1,11,"2000,2001,2006,2010,2023,2024,2025,2026",2428.89,2428.89,3,True,False,,3543000370.0,,36/2023,,
Determinazione_44__5129_DeterminaGenerica_Copia_44_2026_1.pdf,Determinazione,Personale,,ambiguous,text,f6a9dedda50d0e5121d8c145ee9ca5200a23235ec611114dd50a2a1e66bd0d48,11545,1801,640,0,,,0,0,15,"2000,2001,2009,2011,2012,2014,2019,2021,2022,2026",,,0,True,True,,,,,,
Determinazione_702__4958_DeterminadiLiquidazione_Copia_702_2025_1.pdf,Determinazione,Contabilità,Liquidazione,ambiguous,text,b0d64f718de7efdcecc0c9c6e40ee6c097263e269d5ab006cb17ec5fb228ccfb,11206,1806,610,11,B12A6AAF0E,,6,1,11,"2000,2001,2006,2010,2023,2024,2025",3210.39,3210.39,3,True,False,,3543000370.0,,36/2023,,
Determinazione___4977_DeterminadiImpegnoeLiquidazione_Cop2025_1.pdf,Determinazione,Contabilità,Liquidazione,ambiguous,text,d3e2ebd2a6fd6520fd63aef40237b7e7bace3e27808bbd5f738090c91b82080b,8778,1425,478,13,,,1,1,10,"2000,2012,2016,2021,2023,2024,2025",5000.0,40000.0,10,True,False,,,,36/2023,,
Ordinanza_3__5393_OrdinanzeDirigenziali_Copia_3_2026_1.pdf,Ordinanza,Ambiente,,ambiguous,text,4a91b883c88a64e278654dd33c063ceeaeb7db3e0282863220bba8e75309b71a,6427,1068,426,0,,,0,0,9,"2001,2010,2024,2025,2026",,,0,False,False,,,,,,
atto_1__Vai_2.php,Decreto,Regolamenti,Bando,ambiguous,text,fa414edeac0422f11ac1a2ce3bd6e51392686284a45ae5696160a556085bfb9b,1450,242,139,0,,,0,0,2,"2000,2002,2025",,,0,False,False,,,,,,
atto_2072024__Vai_3.php,AttestazionePubblicazione,Contenzioso,,ambiguous,text,223052e1889e654587cabe31ad374ade79190db4a09759451aeb31736efa5296,774,123,87,0,,,0,0,3,"2000,2024,2025,2027",,,0,False,False,,,,,,
atto_2672000__Vai_3.php,Delibera,Contabilità,,ambiguous,text,828345389339fb1af6e43acd6373f888ad4d341993927b7e95dedbeb16c4ec5e,29736,5160,1101,6,,,0,0,6,"2000,2006,2011,2016,2019,2020,2023,2024,2025,2026,2027,2028",2503119.99,35455720.1,9,True,False,,,,,,
atto_3__Vai_1.php,Decreto,Pubblicazione e Trasparenza,,ambiguous,text,fcd47eb944a115997d4a7c097d1205f6357a9ba0ba75cf3f791d2186741c3ef2,930,139,93,0,,,0,0,1,2025,,,0,False,False,,,,,,
Avviso___Vai_3.php,Avviso,Affari Generali,Bando,ambiguous,text,d0d29810490c257d44d10f85d1980e2408bb698eeedec455e80ed28dd50f0178,5485,822,353,13,,,0,0,0,"2000,2003,2013,2016,2025,2026",7.0,7.0,3,True,False,,,,,,
