pdf_name,doc_type,category,subcategory,classification_confidence,source,text_sha256,text_chars,text_words,unique_words,euro_mentions,cig_mentions,cup_mentions,date_mentions,years_mentioned,importo_max,importo_sum,importi_count,accounting_relevant,missing_amount_expected
Avviso___allegato1777975763_1.pdf,Avviso,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
Delibera_1182011__5485_parere_revisore_9.pdf,Delibera,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
Avviso___allegato1778056201_1.pdf,Avviso,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
Delibera_11__5417_Comunicazione_Consigliera_dott-ssa_uso_2.pdf,Delibera,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
Delibera_76__Vai_2.php,Delibera,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
atto_883__Vai_1.php,unknown,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
atto_2672000__Vai_5.php,unknown,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
atto_241__Vai_2.php,unknown,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
Delibera_41__allegato1774957293_3.pdf,Delibera,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
Delibera_60__5549_doc01890720260428103035_2.pdf,Delibera,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
atto___allegato1775644556_1.pdf,unknown,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
atto___allegato1772192833_1.pdf,unknown,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
atto___allegato1777026772_1.pdf,unknown,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
atto___allegato1774431945_1.pdf,unknown,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
atto___allegato1773047907_1.pdf,unknown,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
Delibera_9__5339_parere_su_bilancio_4.pdf,Delibera,,,,text,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,,,0,False,False
atto_1182011__Vai_6.php,unknown,,,,text,de713feacc6766714c084c336baa2f1f315a59bc51a21a11e14a36eaeede9fce,167,24,12,0,0,0,2,2025,,,0,False,False
atto_1__Vai_1.php,unknown,,,,text,50d861e7d5c138c1b99245368d187312332734275afb7844e0fff2f280c4270e,165,24,12,0,0,0,2,2025,,,0,False,False
Delibera_1652001__5430_VERBALE_N-_3_DEL_17-03-2026_dellOrg2028_2.pdf,Delibera,,,,text,7b60217c7c3e96b78b625f545bc30973209418e0a86cbd9b52a0a3681fea31df,335,48,12,0,0,0,4,2026,,,0,False,False
Delibera_52__5511_attestazione_tempi_medi_di_pagamento_5.pdf,Delibera,Contabilità,Liquidazione,high,text,646415c871f0f0289e871c1fb8e3d639f0e6903b761bb3f193dcdec999ff4791,355,57,49,0,0,0,0,"2014,2025",,,0,True,True
atto___5321_ElencoElettoriResidentiTempora_1772627130_1.pdf,Elenco,Servizi Demografici,,high,text,a5534bb15351652d335154f1bfdaa78c759f25702d10478c21d75755341cf5cd,416,72,55,0,0,0,1,"2001,2003,2026",,,0,False,False
atto_19922025__Vai_3.php,unknown,,,,text,7fc5350a8ce2a81b9c01a7f9f06b720d3cf3754fb0c2b5168ffe43312f410112,430,74,46,0,0,0,1,"2000,2025",,,0,False,False
atto___Vai_4.php,unknown,Contabilità,,high,text,3ff4cde069dd68f0e9e83fb41150dbb330d539960bfca6d98f40a7592df2a683,442,80,53,0,0,0,1,"2000,2025",,,0,True,True
atto___5303_sportello_lauro_Marcato_Marcat_1772452908_2.pdf,unknown,Servizi Sociali,,high,text,8b50b1e3d94fedf6f5dbe87b5c4a73e9d995b0e682c4d0acdc77996d2dada660,580,82,69,0,0,0,2,2026,,,0,False,False
atto___5303_sportello_mugnano_del_cardinal_1772452908_1.pdf,unknown,Servizi Sociali,,high,text,e2c0bf51321c5b01ad60f4ac00210d2a3ebfbbeea12c205b482eccaf86ac3304,608,86,74,0,0,0,2,2026,,,0,False,False
atto_176__Vai_2.php,VistoContabile,Contabilità,,high,text,0bbdb8a8f72d16d821456ff0857e3478c33fb7e61d43bc9535354cc6ae57948f,482,89,53,0,0,0,1,"2000,2025",,,0,True,False
