category,count
Contabilità,797
Regolamenti,160
Contenzioso,101
Servizi Demografici,60
Pubblicazione e Trasparenza,59
<vuoto>,53
Affari Generali,51
Cultura e Turismo,47
Personale,44
Ambiente,43
Servizi Sociali,36
Lavori Pubblici,25
Urbanistica,22
Commercio,5
