pdf_name,category,final_category,predicted_confidence
Determinazione_163__5329_DeterminaGenerica_Copia_163_2026_1.pdf,Contabilità,Contabilità,0.71
Determinazione_166__5343_DeterminadiLiquidazione_Copia_166_2026_1.pdf,Contabilità,Da_Revisionare_Manualmente,0.49
Determinazione_167__5344_DeterminadiLiquidazione_Copia_167_2026_1.pdf,Contabilità,Da_Revisionare_Manualmente,0.49
Determinazione_172__5349_DeterminadiImpegno_Copia_172_2026_1.pdf,Affari Generali,Regolamenti,0.575
Determinazione_183__5371_DeterminadiImpegno_Copia_183_2026_1.pdf,Affari Generali,Regolamenti,0.775
Determinazione_191__5384_DeterminadiLiquidazione_Copia_191_2026_1.pdf,Ambiente,Da_Revisionare_Manualmente,0.47
Determinazione_192__5385_DeterminadiLiquidazione_Copia_192_2026_1.pdf,Ambiente,Da_Revisionare_Manualmente,0.47
Determinazione_194__5392_DeterminadiLiquidazione_Copia_194_2026_1.pdf,Affari Generali,Lavori Pubblici,0.52
Determinazione_2112026__5414_DeterminaGenerica_Copia_213_2026_1.pdf,Contabilità,Regolamenti,0.71
Determinazione_211__5411_DeterminadiLiquidazione_Copia_211_2026_1.pdf,Contabilità,Lavori Pubblici,0.555
Determinazione_217__5433_DeterminadiImpegno_Copia_217_2026_1.pdf,Affari Generali,Da_Revisionare_Manualmente,0.43
Determinazione_218__5434_DeterminadiImpegno_Copia_218_2026_1.pdf,Affari Generali,Da_Revisionare_Manualmente,0.43
Determinazione_226__5449_DeterminadiImpegno_Copia_226_2026_1.pdf,Affari Generali,Contabilità,0.755
Determinazione_229__5460_DeterminadiLiquidazione_Copia_229_2026_1.pdf,Affari Generali,Contabilità,0.575
Determinazione_232__5472_DeterminadiLiquidazione_Copia_232_2026_1.pdf,Contabilità,Contabilità,0.51
Determinazione_234__5474_DeterminadiImpegno_Copia_234_2026_1.pdf,Affari Generali,Da_Revisionare_Manualmente,0.455
Determinazione_240__5471_DeterminadiLiquidazione_Copia_240_2026_1.pdf,Contabilità,Contabilità,0.71
Determinazione_241__5476_DeterminadiLiquidazione_Copia_241_2026_1.pdf,Affari Generali,Contabilità,0.53
Determinazione_247__5484_VistoContabile_2.pdf,Contabilità,Contabilità,0.935
Determinazione_249__5488_DeterminadiImpegno_Copia_249_2026_1.pdf,Affari Generali,Regolamenti,0.73
Determinazione_257__5498_DeterminaGenerica_Copia_257_2026_1.pdf,Affari Generali,Contabilità,0.72
Determinazione_263__5507_DeterminadiLiquidazione_Copia_263_2026_1.pdf,Contabilità,Contabilità,0.7
Determinazione_272__5521_DeterminadiImpegno_Copia_272_2026_1.pdf,Affari Generali,Contabilità,0.55
Determinazione_281__5544_DeterminadiImpegno_Copia_281_2026_1.pdf,Affari Generali,Da_Revisionare_Manualmente,0.465
Determinazione_282__5545_DeterminadiImpegno_Copia_282_2026_1.pdf,Affari Generali,Da_Revisionare_Manualmente,0.465
Determinazione_283__5548_DeterminadiImpegno_Copia_283_2026_1.pdf,Affari Generali,Da_Revisionare_Manualmente,0.41
Determinazione_284__5547_DeterminadiImpegno_Copia_284_2026_1.pdf,Affari Generali,Da_Revisionare_Manualmente,0.485
Determinazione_285__5546_DeterminadiImpegno_Copia_285_2026_1.pdf,Affari Generali,Da_Revisionare_Manualmente,0.425
Determinazione_296__5560_DeterminadiLiquidazione_Copia_296_2026_1.pdf,Contabilità,Contabilità,0.605
Determinazione_298__5570_DeterminadiLiquidazione_Copia_298_2026_1.pdf,Affari Generali,Da_Revisionare_Manualmente,0.35
Determinazione_308__5577_DeterminadiImpegno_Copia_308_2026_1.pdf,Personale,Contabilità,0.515
Determinazione_309__5582_DeterminadiLiquidazione_Copia_309_2026_1.pdf,Affari Generali,Da_Revisionare_Manualmente,0.47
Determinazione_313__5593_DeterminadiLiquidazione_Copia_313_2026_1.pdf,Affari Generali,Contabilità,0.72
Determinazione_318__5597_DeterminadiLiquidazione_Copia_318_2026_1.pdf,Contabilità,Contabilità,0.535
Determinazione_321__5598_DeterminadiLiquidazione_Copia_321_2026_1.pdf,Contabilità,Contabilità,0.525
Determinazione_327__5604_DeterminadiImpegno_Copia_327_2026_1.pdf,Contenzioso,Contabilità,0.655
Determinazione_331__5617_DeterminadiLiquidazione_Copia_331_2026_2.pdf,Affari Generali,Contabilità,0.61
Determinazione_337__5613_DeterminadiLiquidazione_Copia_337_2026_1.pdf,Contabilità,Contabilità,0.595
Determinazione_362023__5323_DeterminadiLiquidazione_Copia_159_2026_1.pdf,Ambiente,Da_Revisionare_Manualmente,0.44
Determinazione_362023__5591_DeterminadiLiquidazione_Copia_322_2026_1.pdf,Ambiente,Da_Revisionare_Manualmente,0.315
Determinazione_362023__5616_DeterminadiLiquidazione_Copia_330_2026_1.pdf,Affari Generali,Da_Revisionare_Manualmente,0.32
Determinazione_622160__5492_DeterminaGenerica_Copia_251_2026_1.pdf,Contabilità,Contabilità,0.795
Determinazione_6222058__5493_DeterminaGenerica_Copia_252_2026_1.pdf,Contabilità,Contabilità,0.775
Determinazione___5311_DeterminadiImpegnoeLiquidazione_Cop2026_1.pdf,Contabilità,Contabilità,0.565
Determinazione___5468_DeterminadiImpegnoeLiquidazione_Cop2026_1.pdf,Affari Generali,Contabilità,0.685
Determinazione___5477_DeterminadiImpegnoeLiquidazione_Cop2026_1.pdf,Contabilità,Contabilità,0.785
Determinazione___5612_DeterminadiImpegnoeLiquidazione_Cop2026_1.pdf,Affari Generali,Da_Revisionare_Manualmente,0.415
Ordinanza_10__5531_OrdinanzeDirigenziali_Copia_10_2026_1.pdf,Ambiente,Da_Revisionare_Manualmente,0.24
Ordinanza_12__5443_OrdinanzeSindacali_Copia_12_2026_1.pdf,Contenzioso,Da_Revisionare_Manualmente,0.275
Ordinanza_3__5393_OrdinanzeDirigenziali_Copia_3_2026_1.pdf,Ambiente,Da_Revisionare_Manualmente,0.26
