pdf_path,doc_type,category,subcategory,classification_confidence,classification_terms,oggetto,numero_atto,data_atto,numero_registro,data_registro,importi_raw,importo_max,importo_sum,importi_count,cig,cup,beneficiario,piva_beneficiario,iban,codice_appalti,importo_lettere,anomalie,responsabile,ufficio,impegno_num,impegno_anno,accert_num,accert_anno,quadro_economico,capitolo,peg_riga,is_visto_contabile,source,accounting_relevant,missing_amount_expected,text_sha256,text_chars,text_words,unique_words,euro_mentions,cig_mentions,cup_mentions,date_mentions,years_mentioned,text_path,text_preview,atto_group,pdf_name
C:\Users\39329\OneDrive - Uniparthenope\delibere comunali\albo pretorio avella\albo_download\pdf\atto_2672000__Vai_2.php,unknown,,,,,,,,,,[],,,0,,,,,,,,,,,,,,,,,,False,text,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,C:\Users\39329\OneDrive - Uniparthenope\delibere comunali\albo pretorio avella\albo_download\texts\atto_2672000__Vai_2.txt,,atto_2672000__Vai,atto_2672000__Vai_2.php
C:\Users\39329\OneDrive - Uniparthenope\delibere comunali\albo pretorio avella\albo_download\pdf\atto_46__Vai_1.php,unknown,,,,,,,,,,[],,,0,,,,,,,,,,,,,,,,,,False,text,False,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,,C:\Users\39329\OneDrive - Uniparthenope\delibere comunali\albo pretorio avella\albo_download\texts\atto_46__Vai_1.txt,,atto_46__Vai,atto_46__Vai_1.php
